类别,字段代码,手动输入项（中文）,英文对应,单位,示例值,实际输入值,说明,常见证据,主要影响输出
D. 材料排放因子,steel_direct_pcf,钢材直接排放因子,steel direct factor,kgCO2e/kg,2.0,2.0,可借用到 CBAM direct emissions,supplier PCF / 安装点数据,EU+CBAM
D. 材料排放因子,steel_indirect_pcf,钢材间接排放因子,steel indirect factor,kgCO2e/kg,0.7,0.7,可借用到 CBAM indirect emissions,supplier PCF / 电力因子,EU+CBAM
D. 材料排放因子,plastic_pcf,塑料件排放因子,plastic PCF,kgCO2e/kg,3.0,3.0,供应商 PCF 或行业因子,供应商 PCF / 因子库,EU
D. 材料排放因子,other_material_pcf,其他材料排放因子,other material PCF,kgCO2e/kg,2.3,2.3,供应商 PCF 或行业因子,供应商 PCF / 因子库,EU
E. 制造能耗与工艺,grid_electricity_kwh,电网电使用量,grid electricity use,kWh/pack,450,450,制造阶段 Scope 2 类输入,电表/电费单,EU+CBAM
E. 制造能耗与工艺,green_electricity_kwh,绿电使用量,green electricity use,kWh/pack,150,150,体现零碳园区优势,绿证/PPA/电表,EU
E. 制造能耗与工艺,green_electricity_factor,绿电排放因子,green electricity factor,kgCO2e/kWh,0.05,0.05,demo 因子,方法说明/因子库,EU
E. 制造能耗与工艺,grid_electricity_factor,电网电排放因子,grid electricity factor,kgCO2e/kWh,0.55,0.55,demo 因子,方法说明/因子库,EU+CBAM
E. 制造能耗与工艺,steam_mj,蒸汽使用量,steam use,MJ/pack,220,220,制造阶段能源输入,蒸汽台账/发票,EU
E. 制造能耗与工艺,steam_factor,蒸汽排放因子,steam factor,kgCO2e/MJ,0.07,0.07,demo 因子,方法说明/因子库,EU
E. 制造能耗与工艺,natural_gas_mj,天然气使用量,natural gas use,MJ/pack,120,120,制造阶段直接燃料输入,燃气台账/发票,EU
E. 制造能耗与工艺,natural_gas_factor,天然气排放因子,natural gas factor,kgCO2e/MJ,0.056,0.056,demo 因子,方法说明/因子库,EU
E. 制造能耗与工艺,direct_process_emissions,直接工艺排放,direct process emissions,kgCO2e/pack,18,18,补充非能耗类排放,工艺排放记录,EU
E. 制造能耗与工艺,production_yield_pct,生产良率,production yield,%,0.94,0.94,良率越低单位排放越高,生产台账/MES,EU
F. 运输与生命周期,inbound_transport_kgco2,上游来料运输排放,inbound transport,kgCO2e/pack,24,24,运输阶段输入,物流记录,EU
F. 运输与生命周期,outbound_transport_kgco2,下游出货运输排放,outbound transport,kgCO2e/pack,18,18,运输阶段输入,物流记录,EU
F. 运输与生命周期,end_of_life_credit_kgco2,终端回收信用,end-of-life credit,kgCO2e/pack,-15,-15,允许负值表示信用,回收方案/方法学,EU
G. 再生材料,recycled_cobalt_pct,再生钴占比,recycled cobalt share,%,0,0,LFP 常为 0,质量平衡/供应商声明,EU
G. 再生材料,recycled_lithium_pct,再生锂占比,recycled lithium share,%,0.08,0.08,欧盟电池法重点项,质量平衡/供应商声明,EU
G. 再生材料,recycled_nickel_pct,再生镍占比,recycled nickel share,%,0,0,LFP 常为 0,质量平衡/供应商声明,EU
G. 再生材料,recycled_lead_pct,再生铅占比,recycled lead share,%,0,0,动力电池场景通常较低,质量平衡/供应商声明,EU
G. 再生材料,recycled_aluminium_pct,再生铝占比,recycled aluminium share,%,0.18,0.18,有助于上游减碳叙事,质量平衡/供应商声明,EU+CBAM
G. 再生材料,recycled_steel_pct,再生钢占比,recycled steel share,%,0.22,0.22,有助于上游减碳叙事,质量平衡/供应商声明,EU+CBAM
H. CBAM 影子输入,aluminium_supplier_installation_id,铝材供应商安装点 ID,aluminium installation ID,文本,AL-SUP-001,AL-SUP-001,借鉴 CBAM installation 逻辑,供应商安装点主数据,CBAM
H. CBAM 影子输入,steel_supplier_installation_id,钢材供应商安装点 ID,steel installation ID,文本,ST-SUP-001,ST-SUP-001,借鉴 CBAM installation 逻辑,供应商安装点主数据,CBAM
H. CBAM 影子输入,upstream_reporting_period,上游材料报告期,upstream reporting period,文本,2025Q4,2025Q4,最好与产品报告期对齐,供应商报告期记录,CBAM
H. CBAM 影子输入,aluminium_verifier_status,铝材核验状态,aluminium verifier status,文本,已核验,已核验,体现 verifier discipline,供应商核验报告,CBAM
H. CBAM 影子输入,steel_verifier_status,钢材核验状态,steel verifier status,文本,已核验,已核验,体现 verifier discipline,供应商核验报告,CBAM
