domain,source_regime,source_field,source_granularity,target_regime,target_field,target_granularity,mapping_type,required_evidence,assurance_requirement,confidentiality_level,hku_note
boundary,CATL Carbon Accounting Report,operational control approach,entity,EU Battery Regulation,boundary description,model+plant,transformed,boundary memo plus plant operational control evidence,method review,restricted,Useful source concept but not the target boundary itself
methodology,CATL Carbon Accounting Report,ISO 14064-1 and GHG Protocol references,entity,EU Battery Regulation,carbon footprint methodology reference,model+plant,transformed,method statement emission factor sources allocation rules,verifier-facing method review,restricted,Map GB/T and ISO language into EU battery methodology language
methodology,CATL supplier training or ESG,ISO 14067 product carbon footprint capability,supplier,EU-facing supplier evidence package,supplier PCF methodology metadata,supplier,partial,supplier declarations training records PCF reports,limited verification,restricted,Strong upstream enabler but not a one-to-one EU legal field
product_pcf,CATL ESG Report,product carbon footprint assessment indicators,supplier/product,EU Battery Regulation,carbon footprint declaration,model+plant,partial,internal PCF model supporting study supplier inputs,formal verification,restricted,CATL already has partial foundations but EU target field is more rigid
product_pcf,EU Battery Regulation,carbon footprint total per kWh,model+plant,EU Battery Regulation,declared life-cycle carbon footprint value,model+plant,direct,supporting study calculation file verifier-ready report,formal verification,restricted,Target field should be stored explicitly in HKU mapping system
product_pcf,EU Battery Regulation,life-cycle stage breakdown,model+plant,EU Battery Regulation,stage-differentiated carbon footprint,stage/model+plant,direct,supporting study with stage attribution,formal verification,restricted,Needs stage taxonomy in the data model
product_pcf,CATL internal BOM,material composition and bill of materials,model,EU Battery Regulation,material inputs for footprint calculation,model+plant,transformed,BOM change logs sourcing records formulation categories,verifier-facing review,highly_confidential,Core confidential field set that should stay in restricted evidence layer
energy,CATL plant energy systems,plant electricity and steam use,plant,EU Battery Regulation,manufacturing energy inputs,process/model+plant,transformed,metering logs utility invoices steam invoices internal allocation logic,formal verification if material,confidential,Needs process-to-model allocation logic
renewable_energy,CATL carbon report or plant energy records,renewable electricity certificates and I-REC evidence,plant,EU Battery Regulation,renewable share and related supporting evidence,plant/model+plant,partial,certificates contract records retirement evidence,verifier-facing review,restricted,Can support renewable-content or low-carbon claims but needs plant-specific control
recycled_content,CATL internal material data,recycled material use in active materials,material/model,EU Battery Regulation,recycled content declaration,model+plant,transformed,recycled input records mass balance supplier declarations,verification required,confidential,Needs active-material-specific percentages rather than broad recycling narrative
recycled_content,CATL recycling business data,secondary raw material recovery and reuse,business/material,EU Battery Regulation,recycled cobalt lithium nickel lead share,material/model+plant,transformed,recycling recovery records transfer records chain-of-custody data,formal verification,confidential,Must distinguish enterprise recycling capability from content in a given battery model
due_diligence,CATL ESG Report or CREDIT,supplier sustainability score and due diligence indicators,supplier,EU Battery Regulation,battery due diligence information,supply-chain segment,partial,supplier audit records grievance remediation records policy documents,independent review,restricted,CREDIT is a strong source but not yet a one-to-one EU legal format
due_diligence,CATL ESG Report,responsible sourcing policy and management approach,entity,EU Battery Regulation,report on battery due diligence policy,entity/supply-chain,partial,policy report governance records responsible sourcing procedures,independent review,public_or_restricted,Part of this can feed public passport information
supplier_audit,CATL ESG Report,third-party supplier audit results,supplier,EU Battery Regulation,due diligence supporting evidence,supplier,partial,audit reports CAPA records follow-up logs,verifier review,confidential,Useful as evidence objects rather than passport public fields
traceability,CATL internal systems,material and shipment traceability,lot/shipment,EU Battery Regulation,battery passport traceability data,battery/model/lot,transformed,serialisation data shipment records production genealogy,system assurance,restricted,Need digital object model for lot-to-model-to-plant linkage
traceability,CATL internal quality systems,change history and revision logs,model/plant,EU-facing evidence package,versioning and audit trail metadata,evidence package,direct,revision logs access logs timestamps,process assurance,restricted,Important for trusted update history
passport_access,EU Battery Regulation Annex XIII,public information layer,field,HKU conversion system,public layer access tag,field,direct,Annex XIII field classification,legal review,public,Use EU layer definitions as the target control model
passport_access,EU Battery Regulation Annex XIII,legitimate-interest layer,field,HKU conversion system,restricted-access tag,field,direct,Annex XIII field classification,legal review,restricted,Core place for HKU value: convert confidentiality logic into layered access logic
passport_access,EU Battery Regulation Annex XIII,notified-body and regulator layer,field,HKU conversion system,authority-access tag,field,direct,Annex XIII plus conformity assessment process,legal review,restricted,Should be separated from customer-facing access
trade_secret,Mainland Exchange rules,commercial secret substitution logic,entity disclosure,EU Battery Regulation,restricted disclosure with role-based access,field,transformed,disclosure exception memo sensitivity classification,legal review,highly_confidential,Do not map to blanket exemption; map to layered disclosure architecture
assurance,HKEX ESG Code,independent assurance description,report,EU-facing evidence package,assurance metadata,evidence package,direct,assurance statement and scope note,external assurance,public_or_restricted,Useful metadata but not a substitute for product conformity verification
assurance,HKSSA 5000,assurance engagement requirements,engagement,HKU verifier workflow,assurance workflow template,process,reference,engagement terms evidence planning risk response report template,process design,internal_only,Useful for Hong Kong-side workflow design and future assurance coordination
assurance,EU Battery Regulation,test reports proving compliance,model,EU Battery Regulation,restricted passport information for authorities and notified bodies,model,direct,test reports conformity documents formal assessment records,formal conformity process,restricted,Must be modelled explicitly even if not sourced from ESG stack
ifrs_bridge,HKEX or HKFRS S2,IFRS S2-aligned climate disclosure,entity,investor-facing international disclosure,climate disclosure package,entity,direct,ISSB-aligned report,none or public assurance,public,Helpful for capital-markets narrative but not enough for passport compliance
security,CATL HK Prospectus,TISAX and PRC-EU data law compliance,enterprise,EU-facing trust architecture,data governance and security controls,system,partial,certificates policies governance records,process review,restricted,Supports trust and data governance rather than carbon truth evidence
catena,CATL BMW MOU and Catena-X,trusted data exchange and Catena-X pilot,system,EU-facing exchange layer,interoperable data exchange interface,system,partial,Catena-X conformance evidence and interface documentation,Catena-X CAB certification,restricted,Useful for exchange and interoperability not a substitute for EU battery conformity
catena,Catena-X CAF handbook,self-assessment plus declaration of completeness and correctness,solution,HKU evidence-pack design,self-assessment metadata,system/process,reference,self-assessment form declarations CAB feedback,independent conformity review,restricted,Can inspire structured evidence-pack templates
catena,Catena-X CAF handbook,information produced by entity controls,system/process,HKU evidence architecture,evidence-origin metadata,evidence package,reference,source-system logs data provenance notes recalculation support,process review,restricted,Good reference for provenance design
cbam_reference,EU CBAM,embedded emissions verification principles,installation,HKU verifier workflow template,challenge-audit workflow,process,reference,verification principles installation data verifier report template,reasonable assurance,restricted,CBAM is not battery scope today but offers verifier discipline templates
cbam_reference,EU CBAM,installation identification and operator contact logic,installation,HKU product-plant audit template,plant-verification identity block,plant,reference,installation master data legal operator records,method review,restricted,Useful analogue for plant-level battery verification pack design
zero_carbon_factory,CATL ESG Report or PAS 2060,zero-carbon factory certification,plant,EU Battery Regulation,contextual low-carbon evidence,plant,reference,PAS 2060 certificate supporting files,limited relevance,public_or_restricted,Helpful context but cannot replace battery-model carbon footprint declaration
public_disclosure,CATL ESG or Annual Report,public ESG metrics,entity,Battery passport public layer,non-sensitive public information,field,partial,published report,none or public assurance,public,Only a subset can ever become passport public data
customer_layer,CATL customer documentation,contractual technical data sheet,model,EU-facing customer access layer,customer-visible restricted fields,model,partial,technical datasheets contractual disclosures,customer audit rights,restricted,Should sit between public layer and verifier-facing layer
individual_battery,EU Battery Regulation,state of health and battery status,individual battery,EU Battery Regulation,individual battery restricted data,battery,direct,battery management system data service records,system assurance plus restricted review,restricted,Must be separated from model-level data in the HKU architecture
individual_battery,EU Battery Regulation,charging cycles and operating conditions,individual battery,EU Battery Regulation,usage-derived restricted passport fields,battery,direct,BMS logs telematics service records,system assurance,highly_confidential,High sensitivity and role-based access is essential
